date,datetime,cash_type,card,money,coffee_name,day,month
2024-03-01,15:50.5,card,ANON-0000-0000-0001,38.7,Latte,Friday,March
2024-03-01,19:22.5,card,ANON-0000-0000-0002,38.7,Hot Chocolate,Friday,March
2024-03-01,20:18.1,card,ANON-0000-0000-0002,38.7,Hot Chocolate,Friday,March
2024-03-01,46:33.0,card,ANON-0000-0000-0003,28.9,Americano,Friday,March
2024-03-01,48:14.6,card,ANON-0000-0000-0004,38.7,Latte,Friday,March
2024-03-01,39:47.7,card,ANON-0000-0000-0005,33.8,Americano with Milk,Friday,March
2024-03-01,19:02.8,card,ANON-0000-0000-0006,38.7,Hot Chocolate,Friday,March
2024-03-01,39:03.6,card,ANON-0000-0000-0007,33.8,Americano with Milk,Friday,March
2024-03-01,22:01.8,card,ANON-0000-0000-0008,38.7,Cocoa,Friday,March
2024-03-01,23:15.9,card,ANON-0000-0000-0008,33.8,Americano with Milk,Friday,March
2024-03-01,29:17.4,card,ANON-0000-0000-0009,33.8,Americano with Milk,Friday,March
2024-03-02,22:07.0,card,ANON-0000-0000-0010,28.9,Americano,Saturday,March
2024-03-02,30:35.7,cash,Not Provided,40.0,Latte,Saturday,March
2024-03-02,41:41.2,card,ANON-0000-0000-0011,33.8,Americano with Milk,Saturday,March
2024-03-02,59:45.5,card,ANON-0000-0000-0012,33.8,Americano with Milk,Saturday,March
2024-03-02,38:35.5,card,ANON-0000-0000-0013,28.9,Americano,Saturday,March
2024-03-02,37:24.5,card,ANON-0000-0000-0014,33.8,Americano with Milk,Saturday,March
2024-03-02,34:55.0,card,ANON-0000-0000-0004,28.9,Americano,Saturday,March
2024-03-03,10:44.0,cash,Not Provided,40.0,Latte,Sunday,March
2024-03-03,27:18.6,card,ANON-0000-0000-0015,38.7,Latte,Sunday,March
2024-03-03,33:56.1,card,ANON-0000-0000-0016,28.9,Cortado,Sunday,March
2024-03-03,26:56.1,card,ANON-0000-0000-0012,28.9,Americano,Sunday,March
2024-03-03,09:36.3,card,ANON-0000-0000-0017,38.7,Hot Chocolate,Sunday,March
2024-03-03,06:40.3,card,ANON-0000-0000-0018,38.7,Cocoa,Sunday,March
2024-03-03,08:45.9,card,ANON-0000-0000-0019,28.9,Cortado,Sunday,March
2024-03-03,03:23.4,card,ANON-0000-0000-0020,33.8,Americano with Milk,Sunday,March
