Date,Product_Owner,Product_Promoter,Product ID,Amount (Pesos)
2023-04-13,roto,,4234646,11.0
2023-02-23,lamcyitdkelsolsas,oalrlbobg,6898229,-36.3
2021-04-29,sncretlnteohdriuan,thloncrtirdeseannu,3688815,38.5
2024-03-21,ocoofl,nvpozva,4057547,132.10999999999999
2024-07-09,iPFrmeo,pcpnooiotsdur,7373951,282.91999999999996
2022-10-30,isBlLnsea,sclarfafe,6832813,281.82
2019-04-14,tiAenolcPygo,,7403110,-39.82
2020-01-02,irioegtkspsrencw,a0dp1mkoyer0,4649216,182.16
2022-11-22,ooefbmork,1be3u0sd,5498441,-34.980000000000004
2022-01-26,wtisaenehvuge,ocexmm,7111247,102.30000000000001
2019-11-06,pmreenibdgomlrasotet,iOucifamoTpiflCnrs,6180525,471.57
2023-09-25,cometi,,4530838,112.86
2021-02-08,trndhailteuroesnnc,rsuteninrdchentlao,3553082,38.06
2023-08-31,ecelturitnndnaorsh,zr0cmtb,5466747,-36.19
2024-03-08,robkofemo,oabllgrob,4948320,44.77
2023-03-12,gvaneeiutsweh,tePruaapPhsyow,7111247,-96.58
2023-05-11,d0E7u3bs,usEdb307,7269652,55.0
2023-11-11,aoosr1p,,4043013,22.0
2020-01-23,enosstmuswpeGl,,7196241,275.21999999999997
2022-07-22,a8dzoc0e,dronemm,5858437,-182.16
2019-07-16,lytosswa,bse21du0,4854291,34.980000000000004
2022-09-01,losatysw,s2deb1u0,7153380,43.67
2023-11-20,sytlswoa,02s1edbu,4854447,49.28
2023-06-20,yacrbaskd,oblrgbola,4933149,43.67
2021-10-23,kisgteefhoir,eAdeLnrol,5794685,372.02
2020-09-21,eoomrfkbo,b1dse30u,4898374,34.980000000000004
2022-02-12,mpaooyaerchteh,lblroogab,7664085,44.0
2019-08-30,dgfiue,d21sbu0e,6063447,43.89
2022-01-22,deugif,lgrbloboa,5078463,44.0
2019-02-26,escllearya,u0bsd4e1,5048056,65.34
2021-10-17,olcoof,mspncerniariea,4057495,126.83
2022-03-06,tyoocAgPelni,,7224100,157.07999999999998
2019-01-13,tcmoie,semuakt,4530838,117.37
2019-07-19,poorlsoct,ftlosfa,6348264,65.34
2020-07-31,mooeborkf,be0sdu13,5498441,34.980000000000004
2022-05-25,pdroigrn,llobagrob,5591417,43.339999999999996
2023-01-18,diugfe,gbloaobrl,5078567,-66.33
2019-04-05,edtrohoocm,ppealcei,5130567,44.0
2023-01-05,otmcie,,4531020,147.62
2021-01-30,dtoletodaefte,ubneme,7348627,129.47
2024-11-19,nnnldeciouahtrrest,,3688815,11.0
2024-11-06,fmooobkre,us10b3ed,4898374,34.980000000000004
2024-10-30,stacntrrdehniuneol,,5621993,38.39
2024-02-04,ugifed,olrabgolb,5096546,44.11
2021-08-14,ofoerokmb,be0ds31u,4901494,36.3
2019-10-04,pvuvisor,vb10afsf,6465511,44.989999999999995
2023-05-27,tmceoi,uc3lbe3eka,4530864,179.3
2019-05-28,onezpwiaer,sigs-dopcaoel,5378126,286.11
2023-07-22,pseieosgikncrrtw,w7w6932,4649203,43.12
2022-02-05,rookfmeob,b10ueds3,4898374,34.980000000000004
2020-05-08,erlsoct,albgbloro,4906603,66.77000000000001
2019-02-06,psrrieiwneskgtco,hrycesr,4649203,45.98
2022-10-18,feiursoalf,epmrTtu,6313385,476.52
2020-04-11,ylwstosa,des210bu,7410715,58.63
2023-03-06,tuoygsn,nomcshmoe,5341297,75.35
2023-08-14,iuworsnfd,,5723562,23.32
2022-07-10,seotlcr,oblarlgob,4930952,66.11
2021-01-31,esa8cl,,7231978,97.02000000000001
2021-11-17,aowsrsl,vazsbai,5456230,38.72
2023-11-02,husidecaenltnntorr,,3688815,33.55
2024-07-19,ndpoirrg,loogralbb,5665998,43.67
2019-09-23,evywsle,vkrtoumhiaarjun,3988881,42.57
2021-10-22,ootoedmchr,eaevl5erd,5130567,42.019999999999996
2021-12-04,oimtec,iprosopr,4530838,120.22999999999999
2021-08-07,ooocfl,goieTs,4057547,-131.89000000000001
2024-10-20,hrablHrTeeaTypae,,6171659,81.84
2020-02-02,pudivb,,7449195,97.79
2024-01-28,ysleewv,u98l87418R08ha7,4016831,47.96
2020-05-19,prridngo,brgollabo,5802576,43.339999999999996
2024-07-14,tcsloer,oorbbagll,5017363,36.3
2022-01-18,toedeltfadoet,alaanerliyFrTre,4756687,121.44
2021-03-23,wsopgsceertinkri,pedomry1ka00,4649203,42.79
2022-07-30,lcdteskmoasaillsy,olbgrolba,6900036,47.96
2023-12-11,gfieud,aoorgbbll,5078567,-65.34
2024-05-01,ybaradksc,oogrbllba,4933240,36.3
2019-01-21,etioitmhbmprrsseap,lfae2iia4tf02,5770752,618.42
2019-01-20,ocomderhot,tafofls,5520034,43.67
2019-07-04,tocmie,ehthelgarihh,4530838,117.47999999999999
